DATE,CSUSHPINSA
1/1/87,63.734
2/1/87,64.134
3/1/87,64.47
4/1/87,64.974
5/1/87,65.548
6/1/87,66.219
7/1/87,66.787
8/1/87,67.27
9/1/87,67.623
10/1/87,67.901
11/1/87,68.091
12/1/87,68.343
1/1/88,68.582
2/1/88,68.916
3/1/88,69.324
4/1/88,69.789
5/1/88,70.409
6/1/88,71.068
7/1/88,71.687
8/1/88,72.186
9/1/88,72.575
10/1/88,72.823
11/1/88,73.065
12/1/88,73.278
1/1/89,73.617
2/1/89,73.968
3/1/89,74.41
4/1/89,74.868
5/1/89,75.297
6/1/89,75.697
7/1/89,76.043
8/1/89,76.273
9/1/89,76.422
10/1/89,76.489
11/1/89,76.522
12/1/89,76.498
1/1/90,76.527
2/1/90,76.587
3/1/90,76.79
4/1/90,77.038
5/1/90,77.296
6/1/90,77.505
7/1/90,77.56
8/1/90,77.479
9/1/90,77.229
10/1/90,76.912
11/1/90,76.381
12/1/90,75.972
1/1/91,75.533
2/1/91,75.25
3/1/91,75.137
4/1/91,75.316
5/1/91,75.769
6/1/91,76.254
7/1/91,76.517
8/1/91,76.594
9/1/91,76.576
10/1/91,76.29
11/1/91,76.03
12/1/91,75.844
1/1/92,75.699
2/1/92,75.654
3/1/92,75.813
4/1/92,76.08
5/1/92,76.398
6/1/92,76.602
7/1/92,76.711
8/1/92,76.731
9/1/92,76.628
10/1/92,76.598
11/1/92,76.579
12/1/92,76.465
1/1/93,76.395
2/1/93,76.327
3/1/93,76.383
4/1/93,76.661
5/1/93,77.031
6/1/93,77.516
7/1/93,77.885
8/1/93,78.131
9/1/93,78.198
10/1/93,78.172
11/1/93,78.17
12/1/93,78.114
1/1/94,78.199
2/1/94,78.205
3/1/94,78.349
4/1/94,78.701
5/1/94,79.209
6/1/94,79.701
7/1/94,80.064
8/1/94,80.317
9/1/94,80.34
10/1/94,80.304
11/1/94,80.17
12/1/94,80.079
1/1/95,80.027
2/1/95,79.993
3/1/95,80.079
4/1/95,80.37
5/1/95,80.691
6/1/95,81.069
7/1/95,81.413
8/1/95,81.655
9/1/95,81.739
10/1/95,81.728
11/1/95,81.632
12/1/95,81.514
1/1/96,81.428
2/1/96,81.4
3/1/96,81.666
4/1/96,82.125
5/1/96,82.603
6/1/96,83.049
7/1/96,83.419
8/1/96,83.645
9/1/96,83.702
10/1/96,83.63
11/1/96,83.557
12/1/96,83.491
1/1/97,83.531
2/1/97,83.597
3/1/97,83.912
4/1/97,84.321
5/1/97,84.865
6/1/97,85.399
7/1/97,85.841
8/1/97,86.151
9/1/97,86.311
10/1/97,86.408
11/1/97,86.632
12/1/97,86.848
1/1/98,87.164
2/1/98,87.373
3/1/98,87.877
4/1/98,88.558
5/1/98,89.374
6/1/98,90.195
7/1/98,90.859
8/1/98,91.407
9/1/98,91.752
10/1/98,92
11/1/98,92.198
12/1/98,92.444
1/1/99,92.714
2/1/99,92.981
3/1/99,93.611
4/1/99,94.436
5/1/99,95.361
6/1/99,96.364
7/1/99,97.192
8/1/99,97.897
9/1/99,98.4
10/1/99,98.832
11/1/99,99.15
12/1/99,99.544
1/1/00,100
2/1/00,100.571
3/1/00,101.466
4/1/00,102.541
5/1/00,103.702
6/1/00,104.855
7/1/00,105.722
8/1/00,106.522
9/1/00,107.135
10/1/00,107.728
11/1/00,108.291
12/1/00,108.791
1/1/01,109.214
2/1/01,109.642
3/1/01,110.394
4/1/01,111.247
5/1/01,112.203
6/1/01,113.272
7/1/01,114.226
8/1/01,114.988
9/1/01,115.465
10/1/01,115.681
11/1/01,115.838
12/1/01,116.056
1/1/02,116.437
2/1/02,116.917
3/1/02,117.929
4/1/02,119.208
5/1/02,120.788
6/1/02,122.333
7/1/02,123.688
8/1/02,124.73
9/1/02,125.494
10/1/02,126.136
11/1/02,126.642
12/1/02,127.15
1/1/03,127.652
2/1/03,128.327
3/1/03,129.309
4/1/03,130.488
5/1/03,131.839
6/1/03,133.225
7/1/03,134.647
8/1/03,135.965
9/1/03,137.076
10/1/03,137.976
11/1/03,138.766
12/1/03,139.628
1/1/04,140.706
2/1/04,142.03
3/1/04,144.081
4/1/04,146.18
5/1/04,148.334
6/1/04,150.518
7/1/04,152.337
8/1/04,153.814
9/1/04,155.108
10/1/04,156.298
11/1/04,157.496
12/1/04,158.67
1/1/05,160.13
2/1/05,161.924
3/1/05,164.576
4/1/05,166.999
5/1/05,169.543
6/1/05,172.015
7/1/05,174.097
8/1/05,175.923
9/1/05,177.611
10/1/05,178.752
11/1/05,179.674
12/1/05,180.108
1/1/06,180.828
2/1/06,181.5
3/1/06,182.749
4/1/06,183.648
5/1/06,184.38
6/1/06,184.547
7/1/06,184.608
8/1/06,184.405
9/1/06,184.199
10/1/06,184.055
11/1/06,183.633
12/1/06,183.231
1/1/07,182.72
2/1/07,182.472
3/1/07,182.194
4/1/07,182.132
5/1/07,181.885
6/1/07,181.54
7/1/07,180.993
8/1/07,180.235
9/1/07,179.122
10/1/07,177.53
11/1/07,175.162
12/1/07,173.339
1/1/08,171.079
2/1/08,169.193
3/1/08,167.905
4/1/08,167.324
5/1/08,167.021
6/1/08,166.538
7/1/08,165.714
8/1/08,164.279
9/1/08,161.913
10/1/08,159.164
11/1/08,156.073
12/1/08,152.545
1/1/09,149.362
2/1/09,147.617
3/1/09,146.514
4/1/09,146.943
5/1/09,148.17
6/1/09,149.797
7/1/09,150.749
8/1/09,150.668
9/1/09,149.627
10/1/09,148.584
11/1/09,147.938
12/1/09,146.664
1/1/10,145.003
2/1/10,143.055
3/1/10,143.597
4/1/10,145.403
5/1/10,147.039
6/1/10,147.704
7/1/10,147.563
8/1/10,146.426
9/1/10,144.607
10/1/10,143.13
11/1/10,141.822
12/1/10,140.635
1/1/11,139.045
2/1/11,137.741
3/1/11,137.793
4/1/11,139.161
5/1/11,140.693
6/1/11,141.945
7/1/11,142.342
8/1/11,141.786
9/1/11,140.17
10/1/11,138.412
11/1/11,136.669
12/1/11,135.17
1/1/12,134.169
2/1/12,133.997
3/1/12,135.865
4/1/12,138.474
5/1/12,141.052
6/1/12,143.172
7/1/12,144.284
8/1/12,144.707
9/1/12,144.359
10/1/12,143.969
11/1/12,143.962
12/1/12,143.87
1/1/13,144.313
2/1/13,145.163
3/1/13,147.962
4/1/13,150.97
5/1/13,153.861
6/1/13,156.431
7/1/13,158.293
8/1/13,159.401
9/1/13,159.679
10/1/13,159.559
11/1/13,159.364
12/1/13,159.281
1/1/14,159.371
2/1/14,159.875
3/1/14,161.192
4/1/14,162.971
5/1/14,164.686
6/1/14,166.216
7/1/14,167.142
8/1/14,167.456
9/1/14,167.247
10/1/14,166.915
11/1/14,166.662
12/1/14,166.465
1/1/15,166.256
2/1/15,166.64
3/1/15,168.097
4/1/15,169.976
5/1/15,171.856
6/1/15,173.455
7/1/15,174.5
8/1/15,174.943
9/1/15,175.052
10/1/15,175.06
11/1/15,175.155
12/1/15,175.131
1/1/16,175.051
2/1/16,175.295
3/1/16,176.614
4/1/16,178.504
5/1/16,180.351
6/1/16,181.923
7/1/16,183.027
8/1/16,183.666
9/1/16,183.956
10/1/16,184.033
11/1/16,184.246
12/1/16,184.417
1/1/17,184.667
2/1/17,185.031
3/1/17,186.539
4/1/17,188.554
5/1/17,190.552
6/1/17,192.281
7/1/17,193.527
8/1/17,194.362
9/1/17,194.832
10/1/17,195.097
11/1/17,195.462
12/1/17,195.857
1/1/18,196.125
2/1/18,196.914
3/1/18,198.584
4/1/18,200.629
5/1/18,202.468
6/1/18,204.06
7/1/18,204.969
8/1/18,205.347
9/1/18,205.393
10/1/18,205.387
11/1/18,205.125
12/1/18,204.717
1/1/19,204.223
2/1/19,204.452
3/1/19,205.799
4/1/19,207.712
5/1/19,209.376
6/1/19,210.614
7/1/19,211.367
8/1/19,211.728
9/1/19,211.909
10/1/19,212.005
11/1/19,212.146
12/1/19,212.277
1/1/20,212.432
2/1/20,213.248
3/1/20,215.224
4/1/20,217.271
5/1/20,218.521
6/1/20,219.847
7/1/20,221.603
8/1/20,224.083
9/1/20,226.842
10/1/20,229.863
11/1/20,232.376
12/1/20,234.425
1/1/21,236.501
2/1/21,239.269
3/1/21,244.277
4/1/21,249.889
5/1/21,255.52
6/1/21,261.244
7/1/21,265.574
8/1/21,268.846
9/1/21,271.499
10/1/21,273.71
11/1/21,276.087
12/1/21,278.664
1/1/22,282.026
2/1/22,287.279
3/1/22,295.054
4/1/22,301.655
5/1/22,306.639
6/1/22,308.468
7/1/22,307.447
