Date,Open,High,Low,Close
1/3/1928,17.76,17.76,17.76,17.76
1/4/1928,17.72,17.72,17.72,17.72
1/5/1928,17.55,17.55,17.55,17.55
1/6/1928,17.66,17.66,17.66,17.66
1/7/1928,17.68,17.68,17.68,17.68
1/9/1928,17.5,17.5,17.5,17.5
1/10/1928,17.37,17.37,17.37,17.37
1/11/1928,17.35,17.35,17.35,17.35
1/12/1928,17.47,17.47,17.47,17.47
1/13/1928,17.58,17.58,17.58,17.58
1/14/1928,17.44,17.44,17.44,17.44
1/16/1928,17.29,17.29,17.29,17.29
1/17/1928,17.3,17.3,17.3,17.3
1/18/1928,17.26,17.26,17.26,17.26
1/19/1928,17.38,17.38,17.38,17.38
1/20/1928,17.48,17.48,17.48,17.48
1/21/1928,17.53,17.53,17.53,17.53
1/23/1928,17.64,17.64,17.64,17.64
1/24/1928,17.71,17.71,17.71,17.71
1/25/1928,17.52,17.52,17.52,17.52
1/26/1928,17.63,17.63,17.63,17.63
1/27/1928,17.69,17.69,17.69,17.69
1/28/1928,17.58,17.58,17.58,17.58
1/30/1928,17.49,17.49,17.49,17.49
1/31/1928,17.57,17.57,17.57,17.57
2/1/1928,17.53,17.53,17.53,17.53
2/2/1928,17.63,17.63,17.63,17.63
2/3/1928,17.4,17.4,17.4,17.4
2/4/1928,17.43,17.43,17.43,17.43
2/6/1928,17.45,17.45,17.45,17.45
2/7/1928,17.44,17.44,17.44,17.44
2/8/1928,17.49,17.49,17.49,17.49
2/9/1928,17.55,17.55,17.55,17.55
2/10/1928,17.54,17.54,17.54,17.54
2/11/1928,17.53,17.53,17.53,17.53
2/14/1928,17.44,17.44,17.44,17.44
2/15/1928,17.4,17.4,17.4,17.4
2/16/1928,17.35,17.35,17.35,17.35
2/17/1928,17.04,17.04,17.04,17.04
2/18/1928,16.99,16.99,16.99,16.99
2/20/1928,16.95,16.95,16.95,16.95
2/21/1928,17.11,17.11,17.11,17.11
2/23/1928,17.13,17.13,17.13,17.13
2/24/1928,17.18,17.18,17.18,17.18
2/25/1928,17.19,17.19,17.19,17.19
2/27/1928,17.11,17.11,17.11,17.11
2/28/1928,17.16,17.16,17.16,17.16
2/29/1928,17.26,17.26,17.26,17.26
3/1/1928,17.3,17.3,17.3,17.3
3/2/1928,17.3,17.3,17.3,17.3
3/3/1928,17.42,17.42,17.42,17.42
3/5/1928,17.57,17.57,17.57,17.57
3/6/1928,17.67,17.67,17.67,17.67
3/7/1928,17.58,17.58,17.58,17.58
3/8/1928,17.64,17.64,17.64,17.64
3/9/1928,17.93,17.93,17.93,17.93
3/10/1928,17.87,17.87,17.87,17.87
3/12/1928,18,18,18,18
3/13/1928,17.92,17.92,17.92,17.92
3/14/1928,17.93,17.93,17.93,17.93
3/15/1928,18.07,18.07,18.07,18.07
3/16/1928,18.26,18.26,18.26,18.26
3/17/1928,18.32,18.32,18.32,18.32
3/19/1928,18.36,18.36,18.36,18.36
3/20/1928,18.46,18.46,18.46,18.46
3/21/1928,18.65,18.65,18.65,18.65
3/22/1928,18.6,18.6,18.6,18.6
3/23/1928,18.78,18.78,18.78,18.78
3/24/1928,18.79,18.79,18.79,18.79
3/26/1928,19.05,19.05,19.05,19.05
3/27/1928,18.94,18.94,18.94,18.94
3/28/1928,18.89,18.89,18.89,18.89
3/29/1928,18.95,18.95,18.95,18.95
3/30/1928,19.28,19.28,19.28,19.28
3/31/1928,19.13,19.13,19.13,19.13
4/2/1928,18.91,18.91,18.91,18.91
4/3/1928,19.02,19.02,19.02,19.02
4/4/1928,18.99,18.99,18.99,18.99
4/5/1928,19.23,19.23,19.23,19.23
4/6/1928,19.27,19.27,19.27,19.27
4/10/1928,19.1,19.1,19.1,19.1
4/11/1928,19.44,19.44,19.44,19.44
4/12/1928,19.41,19.41,19.41,19.41
4/13/1928,19.73,19.73,19.73,19.73
4/14/1928,19.59,19.59,19.59,19.59
4/16/1928,19.68,19.68,19.68,19.68
4/17/1928,19.52,19.52,19.52,19.52
4/18/1928,19.52,19.52,19.52,19.52
4/19/1928,19.63,19.63,19.63,19.63
4/20/1928,19.34,19.34,19.34,19.34
4/23/1928,19.15,19.15,19.15,19.15
4/24/1928,19.25,19.25,19.25,19.25
4/25/1928,19.33,19.33,19.33,19.33
4/26/1928,19.47,19.47,19.47,19.47
4/27/1928,19.68,19.68,19.68,19.68
4/28/1928,19.75,19.75,19.75,19.75
4/30/1928,19.75,19.75,19.75,19.75
5/1/1928,19.78,19.78,19.78,19.78
5/2/1928,19.83,19.83,19.83,19.83
5/3/1928,19.93,19.93,19.93,19.93
5/4/1928,20.24,20.24,20.24,20.24
5/7/1928,20.41,20.41,20.41,20.41
5/8/1928,20.27,20.27,20.27,20.27
5/9/1928,20.24,20.24,20.24,20.24
5/10/1928,20.21,20.21,20.21,20.21
5/11/1928,20.36,20.36,20.36,20.36
5/14/1928,20.44,20.44,20.44,20.44
5/15/1928,20.39,20.39,20.39,20.39
5/16/1928,20.05,20.05,20.05,20.05
5/17/1928,20.12,20.12,20.12,20.12
5/18/1928,19.92,19.92,19.92,19.92
5/21/1928,19.63,19.63,19.63,19.63
5/22/1928,19.36,19.36,19.36,19.36
5/23/1928,19.75,19.75,19.75,19.75
5/24/1928,19.87,19.87,19.87,19.87
5/25/1928,19.9,19.9,19.9,19.9
5/28/1928,19.57,19.57,19.57,19.57
5/29/1928,19.82,19.82,19.82,19.82
5/31/1928,20,20,20,20
6/1/1928,20.07,20.07,20.07,20.07
6/2/1928,20.22,20.22,20.22,20.22
6/4/1928,19.8,19.8,19.8,19.8
6/5/1928,19.85,19.85,19.85,19.85
6/6/1928,19.66,19.66,19.66,19.66
6/7/1928,19.61,19.61,19.61,19.61
6/8/1928,19.37,19.37,19.37,19.37
6/9/1928,19.12,19.12,19.12,19.12
6/11/1928,18.68,18.68,18.68,18.68
6/12/1928,18.34,18.34,18.34,18.34
6/13/1928,18.89,18.89,18.89,18.89
6/14/1928,19.05,19.05,19.05,19.05
6/15/1928,18.74,18.74,18.74,18.74
6/16/1928,18.75,18.75,18.75,18.75
6/18/1928,18.4,18.4,18.4,18.4
6/19/1928,18.34,18.34,18.34,18.34
6/20/1928,18.57,18.57,18.57,18.57
6/21/1928,18.56,18.56,18.56,18.56
6/22/1928,18.54,18.54,18.54,18.54
6/23/1928,18.46,18.46,18.46,18.46
6/25/1928,18.47,18.47,18.47,18.47
6/26/1928,18.68,18.68,18.68,18.68
6/27/1928,18.86,18.86,18.86,18.86
6/28/1928,19.07,19.07,19.07,19.07
6/29/1928,19.14,19.14,19.14,19.14
6/30/1928,19.19,19.19,19.19,19.19
7/2/1928,18.98,18.98,18.98,18.98
7/3/1928,19.29,19.29,19.29,19.29
7/5/1928,19.48,19.48,19.48,19.48
7/6/1928,19.39,19.39,19.39,19.39
7/7/1928,19.44,19.44,19.44,19.44
7/9/1928,19.46,19.46,19.46,19.46
7/10/1928,19.43,19.43,19.43,19.43
7/11/1928,18.95,18.95,18.95,18.95
7/12/1928,18.81,18.81,18.81,18.81
7/13/1928,18.96,18.96,18.96,18.96
7/14/1928,18.93,18.93,18.93,18.93
7/16/1928,18.7,18.7,18.7,18.7
7/17/1928,18.8,18.8,18.8,18.8
7/18/1928,19.03,19.03,19.03,19.03
7/19/1928,18.99,18.99,18.99,18.99
7/20/1928,19.03,19.03,19.03,19.03
7/21/1928,18.96,18.96,18.96,18.96
7/23/1928,19.12,19.12,19.12,19.12
7/24/1928,19.09,19.09,19.09,19.09
7/25/1928,19.2,19.2,19.2,19.2
7/26/1928,19.24,19.24,19.24,19.24
7/27/1928,19.42,19.42,19.42,19.42
7/28/1928,19.47,19.47,19.47,19.47
7/30/1928,19.47,19.47,19.47,19.47
7/31/1928,19.43,19.43,19.43,19.43
8/1/1928,19.42,19.42,19.42,19.42
8/2/1928,19.33,19.33,19.33,19.33
8/3/1928,19.36,19.36,19.36,19.36
8/4/1928,19.41,19.41,19.41,19.41
8/6/1928,19.58,19.58,19.58,19.58
8/7/1928,19.49,19.49,19.49,19.49
8/8/1928,19.25,19.25,19.25,19.25
8/9/1928,19.3,19.3,19.3,19.3
8/10/1928,19.25,19.25,19.25,19.25
8/11/1928,19.3,19.3,19.3,19.3
8/13/1928,19.29,19.29,19.29,19.29
8/14/1928,19.13,19.13,19.13,19.13
8/15/1928,19.47,19.47,19.47,19.47
8/16/1928,19.61,19.61,19.61,19.61
8/17/1928,19.64,19.64,19.64,19.64
8/18/1928,19.71,19.71,19.71,19.71
8/20/1928,19.77,19.77,19.77,19.77
8/21/1928,20.02,20.02,20.02,20.02
8/22/1928,20,20,20,20
8/23/1928,20.02,20.02,20.02,20.02
8/24/1928,20.34,20.34,20.34,20.34
8/25/1928,20.45,20.45,20.45,20.45
8/27/1928,20.38,20.38,20.38,20.38
8/28/1928,20.54,20.54,20.54,20.54
8/29/1928,20.58,20.58,20.58,20.58
8/30/1928,20.61,20.61,20.61,20.61
8/31/1928,20.87,20.87,20.87,20.87
9/1/1928,20.87,20.87,20.87,20.87
9/4/1928,20.97,20.97,20.97,20.97
