Months_beginning_Jan_1871,Monthly_years,Monthly_nom_gov_bond_rate,Monthly_nom_margin_rate,Monthly_nom_stock_return,Monthly_CPI,Fed_funds_rate
1,1871.01,0.012088698,0.005253828,0.018393393,12.46406116,
2,1871.02,0.009599222,0.003378188,0.029259259,12.84464132,
3,1871.03,0.008996673,0.003434379,0.032899494,13.0349719,
4,1871.04,0.00571625,0.004741065,0.029887482,12.55922645,
5,1871.05,0.005902541,0.002911263,-0.003772291,12.27381157,
6,1871.06,-0.00299587,0.00246627,-0.01417704,12.08348099,
7,1871.07,0.010877465,0.002668809,0.01726568,12.08348099,
8,1871.08,0.008158265,0.002303914,0.014961726,11.8932314,
9,1871.09,-0.002286873,0.003626774,-0.047176309,12.17864628,
10,1871.1,0.005508143,0.009758794,0.015613653,12.36889587,
11,1871.11,0.005896815,0.00514363,0.026221264,12.36889587,
12,1871.12,-0.023298852,0.008164846,0.029887482,12.65439174,
13,1872.01,-0.001207653,0.004867551,0.008629973,12.65439174,
14,1872.02,0.008637427,0.004867551,0.037341189,12.65439174,
15,1872.03,0.012012336,0.005261694,0.032242063,12.84464132,
16,1872.04,0.00718265,0.005261694,0.004396718,13.13013719,
17,1872.05,0.00757847,0.004074124,-0.005201094,13.13013719,
18,1872.06,0.006608704,0.00327374,-0.001299545,13.0349719,
19,1872.07,0.000547153,0.002059836,-0.007135621,12.84464132,
20,1872.08,-0.002229932,0.00327374,-0.013116733,12.93980661,
21,1872.09,0.006084014,0.004074124,0.008922559,13.0349719,
22,1872.1,0.00096476,0.004867551,0.000893696,12.74947603,
23,1872.11,0.008203058,0.005261694,0.029237374,13.13013719,
24,1872.12,0.013290341,0.037196338,0.012820513,12.93980661,
25,1873.01,0.00368554,0.009863581,0.012760926,12.93980661,
26,1873.02,0.00634688,0.014601687,-0.002831715,13.22522149,
27,1873.03,0.010226,0.014601687,-0.008683953,13.22522149,
28,1873.04,0.004273743,0.014601687,0.007109788,13.22522149,
29,1873.05,0.001896738,0.004471699,-0.00870462,12.93980661,
30,1873.06,0.004521425,0.003674809,0.003263052,12.55922645,
31,1873.07,0.002113961,0.003072542,0.005323608,12.55922645,
32,1873.08,-0.000315733,0.004471699,-0.071093226,12.55922645,
33,1873.09,-0.015330348,0.122695627,-0.08129085,12.55922645,
34,1873.1,0.003850656,0.022757347,-0.02933572,12.27381157,
35,1873.11,0.018156084,0.009863581,0.100814769,11.8932314,
