Month,PE_10
1871.01,
1871.02,
1871.03,
1871.04,
1871.05,
1871.06,
1871.07,
1871.08,
1871.09,
1871.10,
1871.11,
1871.12,
1872.01,
1872.02,
1872.03,
1872.04,
1872.05,
1872.06,
1872.07,
1872.08,
1872.09,
1872.10,
1872.11,
1872.12,
1873.01,
1873.02,
1873.03,
1873.04,
1873.05,
1873.06,
1873.07,
1873.08,
1873.09,
1873.10,
1873.11,
1873.12,
1874.01,
1874.02,
1874.03,
1874.04,
1874.05,
1874.06,
1874.07,
1874.08,
1874.09,
1874.10,
1874.11,
1874.12,
1875.01,
1875.02,
1875.03,
1875.04,
1875.05,
1875.06,
1875.07,
1875.08,
1875.09,
1875.10,
1875.11,
1875.12,
1876.01,
1876.02,
1876.03,
1876.04,
1876.05,
1876.06,
1876.07,
1876.08,
1876.09,
1876.10,
1876.11,
1876.12,
1877.01,
1877.02,
1877.03,
1877.04,
1877.05,
1877.06,
1877.07,
1877.08,
1877.09,
1877.10,
1877.11,
1877.12,
1878.01,
1878.02,
1878.03,
1878.04,
1878.05,
1878.06,
1878.07,
1878.08,
1878.09,
1878.10,
1878.11,
1878.12,
1879.01,
1879.02,
1879.03,
1879.04,
1879.05,
1879.06,
1879.07,
1879.08,
1879.09,
1879.10,
1879.11,
1879.12,
1880.01,
1880.02,
1880.03,
1880.04,
1880.05,
1880.06,
1880.07,
1880.08,
1880.09,
1880.10,
1880.11,
1880.12,
1881.01,18.4739523
1881.02,18.14725816
1881.03,18.27011914
1881.04,17.95010828
1881.05,18.86971869
1881.06,19.02871073
1881.07,18.11636719
1881.08,17.28624355
1881.09,16.72483665
1881.10,16.26198941
1881.11,16.47864232
1881.12,15.95875421
1882.01,15.67876416
1882.02,15.15386153
1882.03,15.0916703
1882.04,14.91699717
1882.05,14.5671032
1882.06,14.32740489
1882.07,15.24055976
1882.08,15.52542933
1882.09,16.08110662
1882.10,15.75558103
1882.11,15.19267031
1882.12,15.38212833
1883.01,15.27025912
1883.02,14.75759015
1883.03,15.05125412
1883.04,15.48206722
1883.05,15.33549764
1883.06,15.90338839
1883.07,15.94878313
1883.08,15.19681088
1883.09,15.49469243
1883.10,15.04805627
1883.11,15.40821814
1883.12,14.89640394
1884.01,14.43282172
1884.02,14.80596023
1884.03,14.73602345
1884.04,14.35345368
1884.05,13.46505031
1884.06,12.90687648
1884.07,13.04393159
